title,artist,album,album_type,release_date,url,id
VUELVE - Bachata Version,Mario Rainero,VUELVE (Bachata Version),single,2024-10-11,https://open.spotify.com/track/1K0cHZNfKdPPGWksRZAG31,1K0cHZNfKdPPGWksRZAG31
Orion - Bachata Version,Dj Husky,Orion (Bachata Version),single,2024-10-11,https://open.spotify.com/track/71yxPYUCfCF5xz21bhOiYy,71yxPYUCfCF5xz21bhOiYy
Entre Tu y Mil Mares - Bachata Version,Dj Freddy Fresh,Entre Tu y Mil Mares (Bachata Version),single,2024-10-11,https://open.spotify.com/track/0N7Jx5dzTAlRSiqvHsmvJm,0N7Jx5dzTAlRSiqvHsmvJm
CUÉNTALE,Chris Paradise,CUÉNTALE,single,2024-10-11,https://open.spotify.com/track/3My1e209ap2XqzX6EGqg4I,3My1e209ap2XqzX6EGqg4I
Te Hago Volver,Jiory,Te Hago Volver,single,2024-10-10,https://open.spotify.com/track/7yOBETcuFhQJIBIM6i8vce,7yOBETcuFhQJIBIM6i8vce
Desnuda,DJ Requinto,Desnuda,single,2024-10-10,https://open.spotify.com/track/31bqUZDS2v1NZgMMBCe8Sb,31bqUZDS2v1NZgMMBCe8Sb
Contigo,Malú,Contigo,single,2024-10-10,https://open.spotify.com/track/1snWQ8fSjZvsRGAkZi8oV5,1snWQ8fSjZvsRGAkZi8oV5
Sueños,Mr. Don,Sueños,single,2024-10-09,https://open.spotify.com/track/2GVlJT669K2MFeygd0OXvu,2GVlJT669K2MFeygd0OXvu
Blue,Bigman,Blue,single,2024-10-08,https://open.spotify.com/track/3EK2oej2nZYdQTNi2yrm83,3EK2oej2nZYdQTNi2yrm83
Por Mala,J Salez,Por Mala,single,2024-10-07,https://open.spotify.com/track/0HyLFT1hrUHijlXG7D7WjX,0HyLFT1hrUHijlXG7D7WjX
Las Puertas,Ephrem J,Las Puertas,single,2024-10-07,https://open.spotify.com/track/5k62in81sFX9PEk3dn84xG,5k62in81sFX9PEk3dn84xG
Te Pienso Amor - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/7aF21krmtEP3FGhxwjOTF6,7aF21krmtEP3FGhxwjOTF6
Te Encontrare - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/5O4Iusf75It0WbYtKCsKpK,5O4Iusf75It0WbYtKCsKpK
Te Amo Tanto Amor - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/2ns5yKaKdkfcX9jDLy6WaZ,2ns5yKaKdkfcX9jDLy6WaZ
Solo Otro Trago - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/5kOmSSPctGjN0fDLDeWTT6,5kOmSSPctGjN0fDLDeWTT6
Perdido - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/6sk9I7FMBoG032jQz82zis,6sk9I7FMBoG032jQz82zis
No Te Escuche - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/6QMzNGwR2TpB2TAMFEQfGU,6QMzNGwR2TpB2TAMFEQfGU
Me Dejaste - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/30hbpKURPXuN5cUadYiTo0,30hbpKURPXuN5cUadYiTo0
Eres Perfecta - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/4bjRcTVeNINeoHW8lBqW89,4bjRcTVeNINeoHW8lBqW89
El Despechado - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/7e1m4YgAChOx3LrDZX3j8b,7e1m4YgAChOx3LrDZX3j8b
El Desalentado - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/7lZPFkLC3AaHpIH7Z1GhiP,7lZPFkLC3AaHpIH7Z1GhiP
Cuando Volverás - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/4tGcRPSg41EJpqHOTDe2zq,4tGcRPSg41EJpqHOTDe2zq
Cantinero - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/2eQKGDMPzWTwrFdhGv1oql,2eQKGDMPzWTwrFdhGv1oql
Abandonado - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/2fOEwPvGGT2gfGDL2JDGQA,2fOEwPvGGT2gfGDL2JDGQA
A Lo Oscuro - Instrumental Version,Con Tó Music,El Despechado (Instrumental Versions),album,2024-10-13,https://open.spotify.com/track/6fkatCHyzegeay3vdXO2Ur,6fkatCHyzegeay3vdXO2Ur
Vuelve Morena,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/0L2E3FuRHzkWcXoSup0S3l,0L2E3FuRHzkWcXoSup0S3l
Se Fue,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/6BXguAqaZujsacKLmJh9m0,6BXguAqaZujsacKLmJh9m0
Que Me Estara Pasando,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/38Yfg7cTWMUaZFFYO2aWxO,38Yfg7cTWMUaZFFYO2aWxO
Prefiero Tomar,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/5rlkwtUupjdRmSvttGAI1e,5rlkwtUupjdRmSvttGAI1e
OK,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/25B3ZTdWcfjzBKodWntKqH,25B3ZTdWcfjzBKodWntKqH
Eres Bella,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/6j4CxAmipHvSOH535Evq3R,6j4CxAmipHvSOH535Evq3R
El Jardin,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/16azKQubAlHHxip4rZFDIm,16azKQubAlHHxip4rZFDIm
De Mil Amores,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/0yeTYtx8J8pZUeOFRWo7Y0,0yeTYtx8J8pZUeOFRWo7Y0
Bailamos,El Varon de la bachata,Prefiero Tomar,album,2024-10-12,https://open.spotify.com/track/7M5RjTv9E7kZrR5yqDevlk,7M5RjTv9E7kZrR5yqDevlk
