song,artist,album,album_type,release_date,id
Ajedrez,Mario Baro,Ajedrez,single,2024-06-07,6MeDO0DYKpWF6YRIxUnyDV
Amor De Locos - Bachata Versión,Juventino Mendoza,Amor De Locos (Bachata Versión),single,2024-05-31,4ffP3AtXoObpLE9zTDtbdq
Náufrago,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,2qRWoQjgCqqVxS2gMaydCy
La Luna Sobre el Mar Caribe,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,0YQrgCzjZu1ANWNEdw62b7
Poniendo Fichas,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,6d4zoMsqtyjtu55zYDnsCK
Soltemos al Mundo,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,1UN7PFU61B3YX3nfOMFlVe
Has Sido Tú,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,3PdpNDkWsR5h4UiXaae1V7
Flaca - (Bachata),Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,2rIS1kxd4KuiWxRzYcrseI
Atrévete a un #Tbt,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,47NsRHpErV9F69SN4QxcjF
Volando Bajito,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,2YTxa7zbcWaCelUoMmDVbv
Tu Cepillo,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,3Cywv3i4es6EWoZpiGqAy6
La Guerra del Ego,Daniel Santacruz,La Luna Sobre el Mar Caribe,album,2024-05-31,2sKY3c9ZoQJnzK1pn2rTSs
Poco a Poco,wishow,Poco a Poco,single,2024-05-31,3QEeyZt8wl3H0AaUD5fbF4
Cuando Te Toco (Ft. JFab & Paola Fabre),Henry Santos,2.0,album,2024-05-31,1caQ9SHSAkImRW2sl8ie0z
Necesitaba Decirlo,Henry Santos,2.0,album,2024-05-31,4n4uzH6ukojWY09X5UyCMz
Brindo Con Agua (Aventura),Aventura,2.0,album,2024-05-31,28idww1zn7GES0IFp1DaUR
La Excepción,Henry Santos,2.0,album,2024-05-31,4SQHmefaCuEt08G1p2DAGr
No Soy Nada Sin Ti (Ft. Frank Reyes),Henry Santos,2.0,album,2024-05-31,5nm1EyPxwl4xz8rLyG8wWf
Quíteme La Inocencia,Henry Santos,2.0,album,2024-05-31,6w7Ku2mTaB2NKg59Gx2lxA
Vete (Ft. Ephrem J),Henry Santos,2.0,album,2024-05-31,1CtSdLpFj9MxigB9NeasgS
Me Dejó,Henry Santos,2.0,album,2024-05-31,7bGspP3ENrCrGr6kaQtSoR
Dominicano (Ft. Urbanda),Henry Santos,2.0,album,2024-05-31,379vxdYI1pDWX1YSPUGCH4
Te Di (Ft. Pavel Núñez),Henry Santos,2.0,album,2024-05-31,4XC5bLm1D8vIrhJLcsfKuT
La Excepción (Ft. Kiko Rodriguez),Henry Santos,2.0,album,2024-05-31,1YN5IXOhaX3fVOuFrAhDzi
Aquí Abajo,Lirow,México En Bachata,single,2024-05-31,6uiCeudqJriyfnzEYuLghB
Como Duele,Lirow,México En Bachata,single,2024-05-31,3NE3COipTQXTE4Y5gYVeRI
Desesperado,Lirow,México En Bachata,single,2024-05-31,79OpNFmLXjM0pTeqk48FjV
Llamadas Perdidas,Lirow,México En Bachata,single,2024-05-31,5TUpdh91eth5Y09i81xfij
Di Que Sí,Lirow,México En Bachata,single,2024-05-31,2CzSmkZ33ZPbDBdzoMSlh2
Desvelado,Lirow,México En Bachata,single,2024-05-31,75oNj1orTR0TYauVqLVnht
Que Lo Demuestre,Mery EMe,Mil Amores,single,2024-05-31,1rIYhG3lsrdhQ1TvbKyYxI
Quien Cura,Mery EMe,Mil Amores,single,2024-05-31,44YcKJaOPHdz2Ar7zO3Xfz
Si Ella Supiera,Mery EMe,Mil Amores,single,2024-05-31,56DFLRqnYUaBzbMJpvb8Pm
El Amor De Mi Vida,Mery EMe,Mil Amores,single,2024-05-31,1YwsihEpqLFVOX16bTBFT2
Ni Me Debes Ni Te Debo,Mery EMe,Mil Amores,single,2024-05-31,0XearTBr4BIqvvjuVsuhwB
Te Acordaras De Mi,Mery EMe,Mil Amores,single,2024-05-31,3EFglF8Acyoy65AN7Uz2FF
Loco De Remate,Kiko Rodriguez,Loco De Remate,single,2024-06-07,2l36HfaR7ePFjDpSsAbklK
No Eres Tú (Bachata Versión),Karen Méndez,No Eres Tú (Bachata Versión),single,2024-05-31,2EITiggaRMEH0Ga2qw7pf5
Mi Amor (Bachata),DJ Khalid,Mi Amor (Bachata),single,2024-06-06,0CHN2uqOBJ39wZEUXNar6z
Dame Un Chin,Esme,Dame Un Chin,single,2024-05-31,4U6T3nijPTtXNb5UPu31Ti
Desperté,Vinny Rivera,Desperté,single,2024-05-31,45nLYqECWLhidztiT1KhH9
Lo Mejor de Tu Vida - Sessions,Chavi Leons,Lo Mejor de Tu Vida (Sessions),single,2024-06-07,4BZOpqrI4da2fQlHBNsmtg
Feeling Something,Pinto Picasso,Casagemas,album,2024-05-31,08xwzdi5VJ3jnTx0Z2kyUR
Ahí Va,Pinto Picasso,Casagemas,album,2024-05-31,1XKupzelhbCYufpzLlRqd5
Fronteo,Pinto Picasso,Casagemas,album,2024-05-31,3tRgJEE7V0XBpvugGpKHix
El Viejo Oeste,Pinto Picasso,Casagemas,album,2024-05-31,67wZ8z6lY6IBJEx5P2lNh7
Vanidad,Pinto Picasso,Casagemas,album,2024-05-31,1QlJSCz5vDDsvbDovwcVlV
Un Trago Una Bachata,Pinto Picasso,Casagemas,album,2024-05-31,22eeSqDe1EVNEzMELAk3y4
Vicio,Pinto Picasso,Casagemas,album,2024-05-31,4KW6PQ6MTxFMptT7RStKXF
Vibras,Pinto Picasso,Casagemas,album,2024-05-31,05fQ1kWFQrvznV347eigNI
Millonario,Pinto Picasso,Casagemas,album,2024-05-31,13zE3PfI1w2hmeg5EBGIuR
Niveles,Pinto Picasso,Casagemas,album,2024-05-31,2AK3mvpXY4fiXzoqI6XAoh
Nada Es Igual,Pinto Picasso,Casagemas,album,2024-05-31,5EWuqVQVYGvRHp7V1T0CeH
Que Pena,Pinto Picasso,Casagemas,album,2024-05-31,5hBx4OMn1KNIW2T0NiTaB3
Santa,Roman,Santa,single,2024-05-31,0ON6v6YT4TQBFoVLwIbXm2
Tu y Yo,Andy Santiago El Relevo,Tu y Yo,single,2024-06-03,2ChqlQbwhL3LBocF4wZJvM
Porque Me Haces Llorar,Andy Santiago El Relevo,Porque Me Haces Llorar,single,2024-06-03,3OBN5MDa1RADy8lTgIaiAO
Voy a Beber,Andy Santiago El Relevo,Voy a Beber,single,2024-05-31,6p4fTpsXgGqGxE0SEm74Pl
Dame El Chiquito,Andy Santiago El Relevo,Dame El Chiquito,single,2024-05-31,3nLUQVxG9slCuYaZ2xrpEf
12 Rosas - Bachata Urbana,Senor Bachata,12 Rosas (Bachata Urbana),single,2024-06-07,4VNlMzhJIvsyFDE24nnQ2c
Como Se Olvidan,Voz A Voz,Como Se Olvidan,single,2024-05-31,30Y9p8I5fJDN4E2d6sX5Fg
EGO,Fran Rozzano,EGO,single,2024-05-31,3B6L4Gk8OYeTpre58Y9V9H
Muito Lindo,Cecy Leos,Muito Lindo,single,2024-06-06,1ChmCEsokC0zw65MrTit5g
Se Fue Lo Bonito,Álvaro Ríos,Se Fue Lo Bonito,single,2024-06-01,5t00FxRgQAMAYrSYxTFYoj
