song,artist,album,album_type,release_date,url,id
Tu y Yo,Andy Santiago El Relevo,Tu y Yo,single,2024-06-03,https://open.spotify.com/track/2ChqlQbwhL3LBocF4wZJvM,2ChqlQbwhL3LBocF4wZJvM
Porque Me Haces Llorar,Andy Santiago El Relevo,Porque Me Haces Llorar,single,2024-06-03,https://open.spotify.com/track/3OBN5MDa1RADy8lTgIaiAO,3OBN5MDa1RADy8lTgIaiAO
Me Arriesgo Contigo,Rau,Me Arriesgo Contigo,single,2024-06-04,https://open.spotify.com/track/3lkxNtfkehqEHolTnggxKp,3lkxNtfkehqEHolTnggxKp
Mi Amor (Bachata),DJ Khalid,Mi Amor (Bachata),single,2024-06-06,https://open.spotify.com/track/0CHN2uqOBJ39wZEUXNar6z,0CHN2uqOBJ39wZEUXNar6z
Mi Niña Bonita,Dj Husky,Mi Niña Bonita,single,2024-06-06,https://open.spotify.com/track/1KSfQcsOFASTBzhvDS2vSb,1KSfQcsOFASTBzhvDS2vSb
Muito Lindo,Cecy Leos,Muito Lindo,single,2024-06-06,https://open.spotify.com/track/1ChmCEsokC0zw65MrTit5g,1ChmCEsokC0zw65MrTit5g
Low Key (feat. Humby),Beéle,Low Key (feat. Humby),single,2024-06-06,https://open.spotify.com/track/4PfR2vNZ3ig9OCyZmWsQL2,4PfR2vNZ3ig9OCyZmWsQL2
San Juan,Caluu C.,San Juan,single,2024-06-07,https://open.spotify.com/track/6sTflsI5HAA351smR8dImv,6sTflsI5HAA351smR8dImv
Lo Mejor de Tu Vida - Sessions,Chavi Leons,Lo Mejor de Tu Vida (Sessions),single,2024-06-07,https://open.spotify.com/track/4BZOpqrI4da2fQlHBNsmtg,4BZOpqrI4da2fQlHBNsmtg
Si Tú Supieras - Bachata Version,DJ Clau,Si Tú Supieras (Bachata Version),single,2024-06-07,https://open.spotify.com/track/7m3RhLZLkTombwkvU1K3Kp,7m3RhLZLkTombwkvU1K3Kp
Ajedrez,Mario Baro,Ajedrez,single,2024-06-07,https://open.spotify.com/track/6MeDO0DYKpWF6YRIxUnyDV,6MeDO0DYKpWF6YRIxUnyDV
Lento,Tony Lozano,Lento,single,2024-06-07,https://open.spotify.com/track/7kfRlvxo8GgmSkcxSnyA6H,7kfRlvxo8GgmSkcxSnyA6H
Urano,Felix,Urano,single,2024-06-07,https://open.spotify.com/track/2oXpRKKhoVZjyNCxoqypEB,2oXpRKKhoVZjyNCxoqypEB
Loco De Remate,Kiko Rodriguez,Loco De Remate,single,2024-06-07,https://open.spotify.com/track/2l36HfaR7ePFjDpSsAbklK,2l36HfaR7ePFjDpSsAbklK
12 Rosas - Bachata Urbana,Senor Bachata,12 Rosas (Bachata Urbana),single,2024-06-07,https://open.spotify.com/track/4VNlMzhJIvsyFDE24nnQ2c,4VNlMzhJIvsyFDE24nnQ2c
PIEL - Bachata Version,Sebas Garreta,PIEL (Bachata Version),single,2024-06-08,https://open.spotify.com/track/4AK5sDO2FQJ2uJ3qhFOgm4,4AK5sDO2FQJ2uJ3qhFOgm4
Santa - Bachata Version,Tony Lozano,Santa (Bachata Version),single,2024-06-08,https://open.spotify.com/track/1nRJ68kbOmMdz9vM5DCuPt,1nRJ68kbOmMdz9vM5DCuPt
Latin Lover,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/4zFttPV7sLjjBfYWsXBwKA,4zFttPV7sLjjBfYWsXBwKA
Quiero Olvidarte,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/28dZJZL9zjH8pH8lwUtk5E,28dZJZL9zjH8pH8lwUtk5E
Me Enamoré de Ti,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/4jyFB4Gad2veR6nrqtQiM8,4jyFB4Gad2veR6nrqtQiM8
Todavia Te Amo,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/1jC5MVnJkIr3Kx1iwKjMDB,1jC5MVnJkIr3Kx1iwKjMDB
Jugó Con los Dos,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/4lYFYb2wqxDy1RmFspEDtf,4lYFYb2wqxDy1RmFspEDtf
Estas en un Error,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/10b6JvVc5RzgedpeLXOuEu,10b6JvVc5RzgedpeLXOuEu
Yo No Guardo Luto,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/2IUbNBOSoeRQ87oblnC8NO,2IUbNBOSoeRQ87oblnC8NO
Rubi,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/09T4WwL1r3npqEBPEM7Qf2,09T4WwL1r3npqEBPEM7Qf2
Este Amor,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/7HvPkUjSQuDcuQPFq0Ac5z,7HvPkUjSQuDcuQPFq0Ac5z
El Income Tax,MIGUEL EL ARTISTA,Evolution,album,2024-06-09,https://open.spotify.com/track/0Y6dcOCauK6eK9lnnPoa6U,0Y6dcOCauK6eK9lnnPoa6U
MI NUMERO UNO,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/64EszXhYMNfFLfGx7pou4O,64EszXhYMNfFLfGx7pou4O
Barbie Truchita,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/5e4HcPULlp4CPFIjD59aoC,5e4HcPULlp4CPFIjD59aoC
Threesome,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/3SDtTg6wUsDY43iuSpMAd8,3SDtTg6wUsDY43iuSpMAd8
Chingandote,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/7MVinPuVhqbNjoypzf8TSx,7MVinPuVhqbNjoypzf8TSx
"Rola De Amor, Mamasota Mamasita (ya tebya lyublyu)",Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/7v9v5fsyjSdMUnxcpnmskU,7v9v5fsyjSdMUnxcpnmskU
LA MORRITA (Corrido Tumbado),Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/71AGsjsysmcML12BoWxud1,71AGsjsysmcML12BoWxud1
I LOVE U FLAKA,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/5hjTvAhAdeZRVY14qhosDo,5hjTvAhAdeZRVY14qhosDo
EL NOVIO,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/45PKoEnVLOVyBSl9quJkHJ,45PKoEnVLOVyBSl9quJkHJ
QUE MALA NOCHE,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/7rCqDKpvHmSgH81OzquCaP,7rCqDKpvHmSgH81OzquCaP
Rueda Durísimo,Nandy Versátil,AHORA Siii,album,2024-06-10,https://open.spotify.com/track/3qeLqob1ib9v866ZR2Yd3d,3qeLqob1ib9v866ZR2Yd3d
Por Mi Timidez - En Vivo,Andy Santiago El Relevo,Por Mi Timidez (En Vivo),single,2024-06-12,https://open.spotify.com/track/79nSko6h0jwkjVZjIwbY9H,79nSko6h0jwkjVZjIwbY9H
Ella Es Tu Fuiste,Andy Santiago El Relevo,Ella Es Tu Fuiste,single,2024-06-12,https://open.spotify.com/track/4ywYBwoPohrSvL6aQi8O6M,4ywYBwoPohrSvL6aQi8O6M
BACHATERA,Chris Paradise,BACHATERA,single,2024-06-12,https://open.spotify.com/track/6yQDIl4zqMnl9PDb7O3H3N,6yQDIl4zqMnl9PDb7O3H3N
Esposa Mía,Domenic Marte,Esposa Mía,single,2024-06-12,https://open.spotify.com/track/53FvRREgK6akb9HgO3GK4A,53FvRREgK6akb9HgO3GK4A
